,Name,Album,Artist,SpotifyURL,PreviewURL
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,
1,Creep,Creep,ORYL,https://open.spotify.com/track/53rCuDGlZyMfSNEYmUx7gg,
2,White Ferrari X I Know The End,White Ferrari X I Know The End,Erin LeCount,https://open.spotify.com/track/3hxvZSjmLuwRWNkdcq3bMM,
3,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/track/2VlLbhGLVJgdOW7kKdWWFc,
4,L.A.,ARC 003,Verskotzi,https://open.spotify.com/track/6gU1zMfJ3v3LqzOS3i3f71,
5,Secret Language,Secret Language,Tessa Rae,https://open.spotify.com/track/4zRD3KRyGETvFmfbkL6LWP,
6,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,
7,Sofa,Sofa,Hannah Ascher,https://open.spotify.com/track/1WzhUeO671Ao0H4h3jRmUJ,
8,Zer0 Gravity,Zer0 Gravity,Pold,https://open.spotify.com/track/53fKGS9133T2G9BWiAejD4,
9,Something to Write About,Standing Still,Ethan Senger,https://open.spotify.com/track/3IKDeNJwEapuEcnTdsyED0,
10,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,
11,Ocean,Ocean,Oine,https://open.spotify.com/track/0nGoOrfS85zzbLDervmW15,
12,Circles,Hollywood's Bleeding,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,
13,Loosing Interest,Passion & Confusion,timmies,https://open.spotify.com/track/49gXK8uoqUEHgzzHdkELMh,
14,Craving for You,Craving for You,Year of the Lion,https://open.spotify.com/track/5MGyQvbhJ4KUznh0ERlRJO,
15,High - Slowed + Reverb,High,ORYL,https://open.spotify.com/track/5xQ3A4AdxChEAVH85Qh3V5,
16,It's You,YOU,Ali Gatie,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,
17,I Just Want You,I Just Want You,Kina,https://open.spotify.com/track/5ewja8JMIn5ntA29n8G1Ld,
18,Where Is My Mind?,Where Is My Mind?,ORYL,https://open.spotify.com/track/0h3S6zaZj4dBWmHjCOY0l6,
19,Better Now,Better Now,ORYL,https://open.spotify.com/track/5OV8NQLC9eWzMN3jeKs3MJ,
20,Wicked Game,Wicked Game,Aidan Doran,https://open.spotify.com/track/5JwSg3TR4A3f8MnOQxrag4,
21,Jocelyn Flores,17,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,
22,Everybody Dies In Their Nightmares,17,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,
23,kind regards,kind regards,Kaelynn Hayes,https://open.spotify.com/track/5NkysTaJWCLWLeOlhP1xPH,
24,How It Breaks,How It Breaks,Matt Bantle,https://open.spotify.com/track/5ioAmzYPpTiYwCv3CDtc29,
25,Medicine,Medicine,R E L,https://open.spotify.com/track/5TXJl53yoQa7sRpLlTOJgu,
26,drink up,drink up,Adeline V. Lopez,https://open.spotify.com/track/1IDtQdsyVi3rI7VxQ98JUC,
27,Forest Walk,Forest Walk,PlantPup,https://open.spotify.com/track/4Dgnbdi9zl7uXgSctKF4kr,
28,No Coffee,Fuk,316,https://open.spotify.com/track/6Rjw5tHJoD0feZMFMtVP9V,
29,寒天,海海人生,青虫 aoi,https://open.spotify.com/track/7K3ktY9YFjdyMZa3bohwQZ,
30,Keep You Close,Keep You Close,ORYL,https://open.spotify.com/track/03GZtfD15W58mqyIXuZqO1,
31,Heartbreak Anniversary,TAKE TIME,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,
32,I've Been Thinking,I've Been Thinking,Bone Nest,https://open.spotify.com/track/0WAtHDsELu93ciwOn41YZD,
33,idfc,deadroses,blackbear,https://open.spotify.com/track/6y6jbcPG4Yn3Du4moXaenr,
34,Till Forever Falls Apart,Till Forever Falls Apart,Ashe,https://open.spotify.com/track/2769RhOZs0ezRncRW1vryp,
35,Someone Like You,21,Adele,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,
36,Train Wreck,Back from the Edge,James Arthur,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,
37,bad ones,TOO YOUNG TO BE SAD,Tate McRae,https://open.spotify.com/track/6CYT0souHUHKTO4EMzTUFg,
38,Arcade,Small Town Boy (Track By Track),Duncan Laurence,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,
39,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://open.spotify.com/track/0tTI8VvJHgi8giZlVK6U1S,
40,r u ok,TOO YOUNG TO BE SAD,Tate McRae,https://open.spotify.com/track/2ng0NW0HhJK0KTNZzZajRv,
41,Happier,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,
42,7 Years,Lukas Graham,Lukas Graham,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk,
43,slower,slower,Tate McRae,https://open.spotify.com/track/1bd4heB3yXc5iFTPoOMPuo,
44,drivers license,drivers license,Olivia Rodrigo,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,
45,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,
46,Half A Man,A Place We Knew,Dean Lewis,https://open.spotify.com/track/6WU74yOM3Evu2hoyy2g5g5,
47,1-800-273-8255,Everybody,Logic,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,
